,overall,reviewTime,reviewerID,style,reviewText,summary,product_id,place,age,gender
0,5,"09 4, 2015",ALJ66O1Y6SLHA,"{'Size:': ' Big Boys', 'Color:': ' Blue/Orange'}",Great product and price!,Five Stars,P07798,Punjab,34,male
1,5,"09 4, 2015",ALJ66O1Y6SLHA,"{'Size:': ' Big Boys', 'Color:': ' Black (37467610) / Red/White'}",Great product and price!,Five Stars,P04368,Punjab,34,male
2,5,"09 4, 2015",ALJ66O1Y6SLHA,"{'Size:': ' Big Boys', 'Color:': ' Blue/Gray Logo'}",Great product and price!,Five Stars,P04955,Punjab,34,male
3,5,"09 4, 2015",ALJ66O1Y6SLHA,"{'Size:': ' Big Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",Great product and price!,Five Stars,P03991,Punjab,34,male
4,5,"09 4, 2015",ALJ66O1Y6SLHA,"{'Size:': ' Big Boys', 'Color:': ' Blue/Pink'}",Great product and price!,Five Stars,P04307,Punjab,34,male
5,3,"05 6, 2015",A3W11493KS6Z2L,"{'Size:': ' Little Boys', 'Color:': ' White/Black'}",Waaay too small. Will use for futur children!,Oops!,P01845,Punjab,54,male
6,5,"05 6, 2015",A3W11493KS6Z2L,"{'Size:': ' Little Boys', 'Color:': ' Blue/Orange'}",Stays vibrant after many washes,Great,P06917,Punjab,54,male
7,5,"05 6, 2015",A3W11493KS6Z2L,"{'Size:': ' Little Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",Stays vibrant after many washes,Good,P09217,Punjab,54,male
8,5,"05 6, 2015",A3W11493KS6Z2L,"{'Size:': ' Little Boys', 'Color:': ' Blue/Pink'}",My son really likes the pink. Ones which I was nervous about,Great,P00663,Punjab,54,male
9,3,"05 6, 2015",A3W11493KS6Z2L,"{'Size:': ' Little Boys', 'Color:': ' Light Blue/Red'}",Waaay too small. Will use for future child.,Oops!,P01903,Punjab,54,male
10,2,"01 25, 2018",A3HX4X3TIABWOV,"{'Size Name:': "" Men's 6-6.5, Women's 8-8.5"", 'Style:': ' Pinnacle'}",Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,P08749,Gujarat,15,male
11,2,"01 5, 2017",AW8UBYMNJ894V,"{'Size Name:': "" Men's 8-8.5, Women's 10-10.5"", 'Style:': ' Pinnacle'}","This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,P04511,Andhra Pradesh,54,female
12,5,"10 17, 2016",A265UZVOZWTTXQ,,We have used these inserts for years.  They provide great support.,Great inserts,P02116,Maharashtra,16,female
13,5,"08 22, 2016",AW8UBYMNJ894V,,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,P04725,Andhra Pradesh,54,female
14,5,"03 23, 2016",A265UZVOZWTTXQ,,Excellent insole with good support.,Five Stars,P03283,Maharashtra,16,female
15,5,"06 24, 2015",AW8UBYMNJ894V,,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,P03451,Andhra Pradesh,54,female
16,5,"11 17, 2014",A265UZVOZWTTXQ,,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,P09217,Maharashtra,16,female
17,2,"01 25, 2018",A3HX4X3TIABWOV,,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,P03090,Gujarat,15,male
18,2,"01 5, 2017",AW8UBYMNJ894V,,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,P07423,Andhra Pradesh,54,female
19,5,"10 17, 2016",A265UZVOZWTTXQ,,We have used these inserts for years.  They provide great support.,Great inserts,P00705,Maharashtra,16,female
20,5,"08 22, 2016",AW8UBYMNJ894V,,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,P05507,Andhra Pradesh,54,female
21,5,"03 23, 2016",A265UZVOZWTTXQ,,Excellent insole with good support.,Five Stars,P01737,Maharashtra,16,female
22,5,"06 24, 2015",AW8UBYMNJ894V,,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,P03496,Andhra Pradesh,54,female
23,5,"11 17, 2014",A265UZVOZWTTXQ,,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,P05174,Maharashtra,16,female
24,1,"03 12, 2018",A3QY3THQ42WSCQ,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Waaaay too BIG,One Star,P02079,Delhi,37,female
25,5,"02 8, 2018",AGZ5OOZVDO194,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Comfortable,Five Stars,P09567,Kerala,46,male
26,4,"07 1, 2010",A3GJ3DJU1RXOHN,,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,P08461,Andhra Pradesh,65,female
27,5,"10 25, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Good product for the price.  Used very day and no problem.,Five Stars,P00980,Maharashtra,63,female
28,5,"10 14, 2017",A2ON4RYI9Z4SQ,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,P09217,Kerala,61,female
29,1,"03 12, 2018",A3QY3THQ42WSCQ,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Waaaay too BIG,One Star,P05385,Delhi,37,female
30,5,"07 30, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Excellent value.  Comfortable.,Excellent Product,P09587,Maharashtra,63,female
31,5,"06 16, 2017",A1EZN3E9R322YJ,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}","Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,P04955,Tamil Nadu,14,male
32,3,"04 18, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Navy'}","The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,P02221,Assam,14,male
33,5,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}","Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,P04307,Gujarat,58,male
34,3,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Black'}",They fit great. But they fade bad,Three Stars,P01435,Gujarat,58,male
35,4,"04 5, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Black'}",I only give four stars because the pants have no pockets.,Four Stars,P00980,Assam,14,male
36,3,"03 24, 2017",A1G0HYMR02WM2W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Average product.  As described.,Three Stars,P03940,Punjab,44,male
37,5,"02 8, 2018",AGZ5OOZVDO194,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Comfortable,Five Stars,P09194,Kerala,46,male
38,5,"03 11, 2017",A2BFZUQ2XV535H,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",comfy fit,Five Stars,P00499,Tamil Nadu,21,female
39,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Black'}",Nice pants but too small for a medium. Return it.,Returned also,P08265,Andhra Pradesh,62,female
40,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Navy'}",Nice pants but too small for a medium. Returned it.,Returned,P09567,Andhra Pradesh,62,female
41,4,"02 21, 2017",A1Y01U6OZLZE7I,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}","Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,P02903,Gujarat,34,female
42,1,"02 8, 2017",A21HH0VIBKK80J,,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",P01497,Pondicherry,47,male
43,3,"02 1, 2017",A1G0HYMR02WM2W,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",As described.,Three Stars,P08938,Punjab,44,male
44,5,"01 23, 2017",A2BFZUQ2XV535H,,Very comfy for wearing at home.,Five Stars,P08675,Tamil Nadu,21,female
45,5,"03 8, 2016",A3E30OLSMGJEVK,,So comfortable and soft.,Hanes pants,P08792,Tamil Nadu,50,male
46,2,"10 26, 2015",A26TEJJ6YOGWMZ,,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",P07825,West Bangal,48,male
47,3,"06 11, 2015",A2J9WEIRNVTX61,,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,P05676,Lakshadweep,39,male
48,4,"05 24, 2015",A2UUEV4MYOJY66,,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,P07423,Gujarat,14,female
49,5,"03 8, 2016",A3E30OLSMGJEVK,,So comfortable and soft.,Hanes pants,P01435,Tamil Nadu,50,male
50,2,"10 26, 2015",A26TEJJ6YOGWMZ,,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",P08792,West Bangal,48,male
51,3,"06 11, 2015",A2J9WEIRNVTX61,,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,P08749,Lakshadweep,39,male
52,4,"05 24, 2015",A2UUEV4MYOJY66,,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,P00980,Gujarat,14,female
53,5,"02 4, 2015",A36GNVEQP92OPA,"{'Size:': ' Medium', 'Color:': ' Navy'}","Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,P00980,Gujarat,31,male
54,5,"10 25, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Good product for the price.  Used very day and no problem.,Five Stars,P03496,Maharashtra,63,female
55,5,"10 14, 2017",A2ON4RYI9Z4SQ,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,P04910,Kerala,61,female
56,4,"07 1, 2010",A3GJ3DJU1RXOHN,,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,P08461,Andhra Pradesh,65,female
57,5,"07 30, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Excellent value.  Comfortable.,Excellent Product,P06819,Maharashtra,63,female
58,5,"06 16, 2017",A1EZN3E9R322YJ,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}","Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,P02254,Tamil Nadu,14,male
